statisticalID,name,partOf,code,physicalType
CT-001,BUJUMBA COUNTY,Location/101,ADMIN_STRUCTURE,Jurisdiction
CT-002,KYAMUSWA COUNTY,Location/101,ADMIN_STRUCTURE,Jurisdiction
CT-003,KAMPALA CAPITAL CITY AUTHORITY,Location/102,ADMIN_STRUCTURE,Jurisdiction
CT-004,KIBOGA  EAST COUNTY,Location/103,ADMIN_STRUCTURE,Jurisdiction
CT-005,KIBOGA  WEST COUNTY,Location/103,ADMIN_STRUCTURE,Jurisdiction
CT-006,BUKOTO COUNTY,Location/105,ADMIN_STRUCTURE,Jurisdiction
CT-007,MAWOKOTA COUNTY,Location/106,ADMIN_STRUCTURE,Jurisdiction
CT-008,BUWEKULA COUNTY,Location/107,ADMIN_STRUCTURE,Jurisdiction
CT-009,BUWEKULA SOUTH COUNTY,Location/107,ADMIN_STRUCTURE,Jurisdiction
CT-010,KASAMBYA COUNTY,Location/107,ADMIN_STRUCTURE,Jurisdiction
CT-011,MUBENDE MUNICIPALITY,Location/107,ADMIN_STRUCTURE,Jurisdiction
CT-012,MUKONO COUNTY,Location/108,ADMIN_STRUCTURE,Jurisdiction
CT-013,NAKIFUMA COUNTY,Location/108,ADMIN_STRUCTURE,Jurisdiction
CT-014,MUKONO MUNICIPALITY,Location/108,ADMIN_STRUCTURE,Jurisdiction
CT-015,BUDYEBO COUNTY,Location/109,ADMIN_STRUCTURE,Jurisdiction
CT-016,NAKASONGOLA COUNTY,Location/109,ADMIN_STRUCTURE,Jurisdiction
CT-017,BUYAMBA COUNTY,Location/110,ADMIN_STRUCTURE,Jurisdiction
CT-018,KOOKI COUNTY,Location/110,ADMIN_STRUCTURE,Jurisdiction
CT-019,LWEMIYAGA COUNTY,Location/111,ADMIN_STRUCTURE,Jurisdiction
CT-020,MAWOGOLA COUNTY,Location/111,ADMIN_STRUCTURE,Jurisdiction
CT-021,MAWOGOLA NORTH COUNTY,Location/111,ADMIN_STRUCTURE,Jurisdiction
CT-022,MAWOGOLA WEST COUNTY,Location/111,ADMIN_STRUCTURE,Jurisdiction
CT-023,BBALE COUNTY,Location/112,ADMIN_STRUCTURE,Jurisdiction
CT-024,NTENJERU COUNTY,Location/112,ADMIN_STRUCTURE,Jurisdiction
CT-025,BUSIRO COUNTY,Location/113,ADMIN_STRUCTURE,Jurisdiction
CT-026,KYADONDO COUNTY ,Location/113,ADMIN_STRUCTURE,Jurisdiction
CT-027,ENTEBBE MUNICIPALITY,Location/113,ADMIN_STRUCTURE,Jurisdiction
CT-028,KIRA MUNICIPALITY,Location/113,ADMIN_STRUCTURE,Jurisdiction
CT-029,MAKINDYE-SSABAGABO MUNICIPALITY,Location/113,ADMIN_STRUCTURE,Jurisdiction
CT-030,NANSANA MUNICIPALITY,Location/113,ADMIN_STRUCTURE,Jurisdiction
CT-031,KABULA COUNTY,Location/114,ADMIN_STRUCTURE,Jurisdiction
CT-032,BUSUJJU COUNTY,Location/115,ADMIN_STRUCTURE,Jurisdiction
CT-033,MITYANA COUNTY,Location/115,ADMIN_STRUCTURE,Jurisdiction
CT-034,MITYANA MUNICIPALITY,Location/115,ADMIN_STRUCTURE,Jurisdiction
CT-035,NAKASEKE CENTRAL COUNTY,Location/116,ADMIN_STRUCTURE,Jurisdiction
CT-036,NAKASEKE NORTH COUNTY,Location/116,ADMIN_STRUCTURE,Jurisdiction
CT-037,NAKASEKE SOUTH COUNTY,Location/116,ADMIN_STRUCTURE,Jurisdiction
CT-038,BUIKWE COUNTY,Location/117,ADMIN_STRUCTURE,Jurisdiction
CT-039,LUGAZI MUNICIPALITY,Location/117,ADMIN_STRUCTURE,Jurisdiction
CT-040,NJERU MUNICIPALITY,Location/117,ADMIN_STRUCTURE,Jurisdiction
CT-041,BUKOMANSIMBI NORTH COUNTY,Location/118,ADMIN_STRUCTURE,Jurisdiction
CT-042,BUKOMANSIMBI SOUTH COUNTY,Location/118,ADMIN_STRUCTURE,Jurisdiction
CT-043,BUTAMBALA COUNTY,Location/119,ADMIN_STRUCTURE,Jurisdiction
CT-044,BUVUMA ISLANDS COUNTY,Location/120,ADMIN_STRUCTURE,Jurisdiction
CT-045,GOMBA EAST COUNTY,Location/121,ADMIN_STRUCTURE,Jurisdiction
CT-046,GOMBA WEST COUNTY,Location/121,ADMIN_STRUCTURE,Jurisdiction
CT-047,KALUNGU EAST COUNTY,Location/122,ADMIN_STRUCTURE,Jurisdiction
CT-048,KALUNGU WEST COUNTY,Location/122,ADMIN_STRUCTURE,Jurisdiction
CT-049,BUTEMBA COUNTY,Location/123,ADMIN_STRUCTURE,Jurisdiction
CT-050,NTWETWE COUNTY,Location/123,ADMIN_STRUCTURE,Jurisdiction
CT-051,BUKOTO COUNTY,Location/124,ADMIN_STRUCTURE,Jurisdiction
CT-052,KAKUUTO COUNTY,Location/125,ADMIN_STRUCTURE,Jurisdiction
CT-053,KYOTERA COUNTY,Location/125,ADMIN_STRUCTURE,Jurisdiction
CT-054,BUKUYA COUNTY,Location/126,ADMIN_STRUCTURE,Jurisdiction
CT-055,KASSANDA COUNTY,Location/126,ADMIN_STRUCTURE,Jurisdiction
CT-056,KIMAANYA-KABONERA DIVISION,Location/127,ADMIN_STRUCTURE,Jurisdiction
CT-057,NYENDO-MUKUNGWE DIVISION,Location/127,ADMIN_STRUCTURE,Jurisdiction
CT-058,BUGIRI MUNICIPALITY,Location/201,ADMIN_STRUCTURE,Jurisdiction
CT-059,BUKOOLI COUNTY,Location/201,ADMIN_STRUCTURE,Jurisdiction
CT-060,BUSIA MUNICIPALITY,Location/202,ADMIN_STRUCTURE,Jurisdiction
CT-061,SAMIA BUGWE CENTRAL COUNTY,Location/202,ADMIN_STRUCTURE,Jurisdiction
CT-062,SAMIA BUGWE COUNTY,Location/202,ADMIN_STRUCTURE,Jurisdiction
CT-063,IGANGA MUNICIPALITY,Location/203,ADMIN_STRUCTURE,Jurisdiction
CT-064,KIGULU COUNTY,Location/203,ADMIN_STRUCTURE,Jurisdiction
CT-065,BUTEMBE COUNTY,Location/204,ADMIN_STRUCTURE,Jurisdiction
CT-066,KAGOMA COUNTY,Location/204,ADMIN_STRUCTURE,Jurisdiction
CT-067,KAGOMA NORTH COUNTY,Location/204,ADMIN_STRUCTURE,Jurisdiction
CT-068,BUGABULA COUNTY,Location/205,ADMIN_STRUCTURE,Jurisdiction
CT-069,BUZAAYA COUNTY,Location/205,ADMIN_STRUCTURE,Jurisdiction
CT-070,KAMULI MUNICIPALITY,Location/205,ADMIN_STRUCTURE,Jurisdiction
CT-071,KAPCHORWA MUNICIPALITY,Location/206,ADMIN_STRUCTURE,Jurisdiction
CT-072,TINGEY COUNTY,Location/206,ADMIN_STRUCTURE,Jurisdiction
CT-073,NGARIAM COUNTY,Location/207,ADMIN_STRUCTURE,Jurisdiction
CT-074,TOROMA COUNTY,Location/207,ADMIN_STRUCTURE,Jurisdiction
CT-075,USUK COUNTY,Location/207,ADMIN_STRUCTURE,Jurisdiction
CT-076,KANYUM COUNTY,Location/208,ADMIN_STRUCTURE,Jurisdiction
CT-077,KUMI COUNTY,Location/208,ADMIN_STRUCTURE,Jurisdiction
CT-078,KUMI MUNICIPALITY,Location/208,ADMIN_STRUCTURE,Jurisdiction
CT-079,BUNGOKHO CENTRAL COUNTY,Location/209,ADMIN_STRUCTURE,Jurisdiction
CT-080,BUNGOKHO COUNTY,Location/209,ADMIN_STRUCTURE,Jurisdiction
CT-081,AGULE COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
CT-082,GOGONYO COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
CT-083,KIBALE COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
CT-084,PALLISA COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
