statisticalID,name,partOf,code,physicalType
101,KALANGALA,Location/0,ADMIN_STRUCTURE,Jurisdiction
102,KAMPALA,Location/0,ADMIN_STRUCTURE,Jurisdiction
103,KIBOGA,Location/0,ADMIN_STRUCTURE,Jurisdiction
105,MASAKA,Location/0,ADMIN_STRUCTURE,Jurisdiction
106,MPIGI,Location/0,ADMIN_STRUCTURE,Jurisdiction
107,MUBENDE,Location/0,ADMIN_STRUCTURE,Jurisdiction
108,MUKONO,Location/0,ADMIN_STRUCTURE,Jurisdiction
109,NAKASONGOLA,Location/0,ADMIN_STRUCTURE,Jurisdiction
110,RAKAI,Location/0,ADMIN_STRUCTURE,Jurisdiction
111,SSEMBABULE,Location/0,ADMIN_STRUCTURE,Jurisdiction
112,KAYUNGA,Location/0,ADMIN_STRUCTURE,Jurisdiction
113,WAKISO,Location/0,ADMIN_STRUCTURE,Jurisdiction
114,LYANTONDE,Location/0,ADMIN_STRUCTURE,Jurisdiction
115,MITYANA,Location/0,ADMIN_STRUCTURE,Jurisdiction
116,NAKASEKE,Location/0,ADMIN_STRUCTURE,Jurisdiction
117,BUIKWE,Location/0,ADMIN_STRUCTURE,Jurisdiction
118,BUKOMANSIMBI,Location/0,ADMIN_STRUCTURE,Jurisdiction
119,BUTAMBALA,Location/0,ADMIN_STRUCTURE,Jurisdiction
120,BUVUMA,Location/0,ADMIN_STRUCTURE,Jurisdiction
121,GOMBA,Location/0,ADMIN_STRUCTURE,Jurisdiction
122,KALUNGU,Location/0,ADMIN_STRUCTURE,Jurisdiction
123,KYANKWANZI,Location/0,ADMIN_STRUCTURE,Jurisdiction
124,LWENGO,Location/0,ADMIN_STRUCTURE,Jurisdiction
125,KYOTERA,Location/0,ADMIN_STRUCTURE,Jurisdiction
126,KASSANDA,Location/0,ADMIN_STRUCTURE,Jurisdiction
127,MASAKA CITY,Location/0,ADMIN_STRUCTURE,Jurisdiction
201,BUGIRI,Location/0,ADMIN_STRUCTURE,Jurisdiction
202,BUSIA,Location/0,ADMIN_STRUCTURE,Jurisdiction
203,IGANGA,Location/0,ADMIN_STRUCTURE,Jurisdiction
204,JINJA,Location/0,ADMIN_STRUCTURE,Jurisdiction
205,KAMULI,Location/0,ADMIN_STRUCTURE,Jurisdiction
206,KAPCHORWA,Location/0,ADMIN_STRUCTURE,Jurisdiction
207,KATAKWI,Location/0,ADMIN_STRUCTURE,Jurisdiction
208,KUMI,Location/0,ADMIN_STRUCTURE,Jurisdiction
209,MBALE,Location/0,ADMIN_STRUCTURE,Jurisdiction
210,PALLISA,Location/0,ADMIN_STRUCTURE,Jurisdiction
211,SOROTI,Location/0,ADMIN_STRUCTURE,Jurisdiction
212,TORORO,Location/0,ADMIN_STRUCTURE,Jurisdiction
213,KABERAMAIDO,Location/0,ADMIN_STRUCTURE,Jurisdiction
214,MAYUGE,Location/0,ADMIN_STRUCTURE,Jurisdiction
215,SIRONKO,Location/0,ADMIN_STRUCTURE,Jurisdiction
216,AMURIA,Location/0,ADMIN_STRUCTURE,Jurisdiction
217,BUDAKA,Location/0,ADMIN_STRUCTURE,Jurisdiction
218,BUDUDA,Location/0,ADMIN_STRUCTURE,Jurisdiction
219,BUKEDEA,Location/0,ADMIN_STRUCTURE,Jurisdiction
220,BUKWO,Location/0,ADMIN_STRUCTURE,Jurisdiction
221,BUTALEJA,Location/0,ADMIN_STRUCTURE,Jurisdiction
222,KALIRO,Location/0,ADMIN_STRUCTURE,Jurisdiction
223,MANAFWA,Location/0,ADMIN_STRUCTURE,Jurisdiction
224,NAMUTUMBA,Location/0,ADMIN_STRUCTURE,Jurisdiction
225,BULAMBULI,Location/0,ADMIN_STRUCTURE,Jurisdiction
226,BUYENDE,Location/0,ADMIN_STRUCTURE,Jurisdiction
227,KIBUKU,Location/0,ADMIN_STRUCTURE,Jurisdiction
228,KWEEN,Location/0,ADMIN_STRUCTURE,Jurisdiction
229,LUUKA,Location/0,ADMIN_STRUCTURE,Jurisdiction
230,NAMAYINGO,Location/0,ADMIN_STRUCTURE,Jurisdiction
231,NGORA,Location/0,ADMIN_STRUCTURE,Jurisdiction
232,SERERE,Location/0,ADMIN_STRUCTURE,Jurisdiction
233,BUTEBO,Location/0,ADMIN_STRUCTURE,Jurisdiction
234,NAMISINDWA,Location/0,ADMIN_STRUCTURE,Jurisdiction
235,BUGWERI,Location/0,ADMIN_STRUCTURE,Jurisdiction
