statisticalID,name,partOf,code,physicalType
HC001,Chamakubi Health Post,Location/SC001,HEALTH_FACILITY
HC002,Ibombo Rural Health Centre,Location/SC002,HEALTH_FACILITY
HC003,Nakasero II Health Center,Location/SC003,HEALTH_FACILITY
HC004,Nakasero I Health Center,Location/SC004,HEALTH_FACILITY
HC005,Bukoto II Clinic,Location/SC005,HEALTH_FACILITY
HC006,Bwaise Hospital,Location/SC006,HEALTH_FACILITY
HC007,Bukulula HC IV ,Location/SC007,HEALTH_FACILITY
HC008,Kiti HC III ,Location/SC008,HEALTH_FACILITY
HC009,Dominic (Mukoko) HC ,Location/SC009,HEALTH_FACILITY
HC010,Thereza Ledochowska HC II,Location/SC010,HEALTH_FACILITY
HC011,Well Spring HC III ,Location/SC011,HEALTH_FACILITY
HC012,Subcounty Bbaala HC II,Location/SC012,HEALTH_FACILITY
HC013,Bwanda HC II ,Location/SC013,HEALTH_FACILITY
HC014,Kabungo HC III HC III ,Location/SC014,HEALTH_FACILITY
HC015,Nabutongwa HC II HC II,Location/SC015,HEALTH_FACILITY
HC016,Agnes Kasanje HC II ,Location/SC016,HEALTH_FACILITY
HC017,Doreens HC II ,Location/SC017,HEALTH_FACILITY
HC018,Villa Maria Hospital Hospital ,Location/SC018,HEALTH_FACILITY
HC019,Kabukunge Muslim HC II ,Location/SC019,HEALTH_FACILITY
HC020,Kalungu HC III,Location/SC020,HEALTH_FACILITY
HC021,Dominic (Central Ward) HC II ,Location/SC021,HEALTH_FACILITY
HC022,Kabaale HC II ,Location/SC022,HEALTH_FACILITY
HC023,Kigasa HC II ,Location/SC023,HEALTH_FACILITY
HC024,Kiwawo HC II ,Location/SC024,HEALTH_FACILITY
HC025,Lutengo Muslim HC II ,Location/SC025,HEALTH_FACILITY
HC026,Kyamulibwa HC III ,Location/SC026,HEALTH_FACILITY
HC027,MRC Kyamulibwa HC II ,Location/SC027,HEALTH_FACILITY
HC028,Joseph Of the Good Shepherd Kyamulibwa HC IV ,Location/SC028,HEALTH_FACILITY
